item,itemLabel,itemDescription,coordinate,instance_ofLabel,named_afters,named_afterLabel,named_afterDescriptions,named_after_instance_ofLabels,named_after_genderLabel,postal_codes,length,inception,place_of_birth,place_of_death,citizenships,occupations,birth_years,death_years
http://www.wikidata.org/entity/Q66615373,Pisendelstraße,Straße in Dresden,Point(13.701613 51.079757),Innerortsstraße,http://www.wikidata.org/entity/Q508635,Johann Georg Pisendel,,,männlich,01139,,,Cadolzburg,Dresden,Deutschland,"Geiger, Konzertmeister, Dirigent, Komponist",1687,1755
http://www.wikidata.org/entity/Q66618891,Dreyßigplatz,Platz in Dresden,Point(13.713105 51.080928),Platz,http://www.wikidata.org/entity/Q214933,Anton Dreyssig,,,männlich,01139,,,Litvínov,Dresden,Deutschland,Dirigent,1774,1815
http://www.wikidata.org/entity/Q66619391,Wächterstraße,Straße in Dresden,Point(13.69975 51.08519),Innerortsstraße,http://www.wikidata.org/entity/Q91083,Karl Georg von Wächter,,,männlich,01139,,,Marbach am Neckar,Leipzig,Deutschland,"Hochschullehrer, Jurist, Politiker, Richter, Schriftsteller",1797,1880
http://www.wikidata.org/entity/Q66619403,Baudissinstraße,Straße in Dresden,Point(13.701029 51.087786),Innerortsstraße,http://www.wikidata.org/entity/Q215699,Wolf Heinrich von Baudissin,,,männlich,01139,,,Kopenhagen,Dresden,Deutschland,"Shakespeare-Übersetzer, englisch–deutscher Übersetzer, Linguist, Diplomat, Übersetzer, Schriftsteller",1789,1878
http://www.wikidata.org/entity/Q131584256,Friedrich-Wilhelm-Pohle-Gasse,Fußweg in Dresden-Loschwitz,Point(13.816299 51.052694),Innerortsstraße,http://www.wikidata.org/entity/Q1463158,Friedrich Wilhelm Pohle,,,männlich,,,,Leisnig,Loschwitz,Deutschland,Schriftsteller,1830,1892
http://www.wikidata.org/entity/Q132201426,Amely-Bölte-Straße,Innerortstraße in Dresden,Point(13.725159 51.05501),Innerortsstraße,http://www.wikidata.org/entity/Q461906,Amely Bölte,,,weiblich,01067,,,Rehna,Wiesbaden,Deutschland,"Romancier, Schriftsteller",1811,1891
http://www.wikidata.org/entity/Q134496547,Emanuel-Goldberg-Platz,Platz in Dresden-Striesen,Point(13.805839 51.039322),Innerortsstraße,http://www.wikidata.org/entity/Q96529,Emanuel Goldberg,,,männlich,,,,Moskau,Tel Aviv-Jaffa,"Deutschland,Israel,Russisches Kaiserreich","Chemiker, Physiker",1881,1970
http://www.wikidata.org/entity/Q134496547,Emanuel-Goldberg-Platz,Platz in Dresden-Striesen,Point(13.805839 51.039322),Platz,http://www.wikidata.org/entity/Q96529,Emanuel Goldberg,,,männlich,,,,Moskau,Tel Aviv-Jaffa,"Deutschland,Israel,Russisches Kaiserreich","Chemiker, Physiker",1881,1970
http://www.wikidata.org/entity/Q66616539,Homiliusstraße,Straße in Dresden,Point(13.70586 51.080338),Innerortsstraße,http://www.wikidata.org/entity/Q451484,Gottfried August Homilius,,,männlich,01139,,,Rosenthal-Bielatal,Dresden,Heiliges Römisches Reich,"Organist, Komponist",1714,1785
http://www.wikidata.org/entity/Q95391246,Semperstraße,Straße in Dresden,Point(13.74589 51.03372),Innerortsstraße,http://www.wikidata.org/entity/Q61342,Gottfried Semper,,,männlich,01069,,,Hamburg,Rom,Hamburg,"Kunsthistoriker, Hochschullehrer, Architekt, Lehrer",1803,1879
http://www.wikidata.org/entity/Q66619020,Guts-Muths-Straße,Straße in Dresden,Point(13.713982 51.085247),Innerortsstraße,http://www.wikidata.org/entity/Q60825,Johann Christoph Friedrich GutsMuths,,,männlich,01139,,,Quedlinburg,Ibenhain,Königreich Preußen,"Turner, Sachbuchautor, Pädagoge, Geograph, Lehrer",1759,1839
http://www.wikidata.org/entity/Q66619028,Rietzstraße,Straße in Dresden,Point(13.708751 51.08278),Innerortsstraße,http://www.wikidata.org/entity/Q63745,Julius Rietz,,,männlich,01139,,,Berlin,Dresden,"Königreich Preußen,Königreich Sachsen","Cellist, Hochschullehrer, Dirigent, Komponist",1812,1877
http://www.wikidata.org/entity/Q66619086,Wüllnerstraße,Straße in Dresden,Point(13.712023 51.082292),Innerortsstraße,http://www.wikidata.org/entity/Q819749,Franz Wüllner,,,männlich,"01127, 01139",,,Münster,Braunfels,Königreich Preußen,"Musikpädagoge, Hochschullehrer, Pianist, Dirigent, Komponist",1832,1902
http://www.wikidata.org/entity/Q66619147,Bunsenstraße,Straße in Dresden,Point(13.707004 51.083311),Innerortsstraße,http://www.wikidata.org/entity/Q71031,Robert Wilhelm Bunsen,,,männlich,01139,,,Göttingen,Heidelberg,Königreich Preußen,"Hochschullehrer, Chemiker, Erfinder, Physiker, Lehrer, Naturwissenschaftler",1811,1899
http://www.wikidata.org/entity/Q66619262,Wöhlerstraße,Straße in Dresden,Point(13.707664 51.083555),Innerortsstraße,http://www.wikidata.org/entity/Q58575,Friedrich Wöhler,,,männlich,01139,,,Frankfurt-Eschersheim,Göttingen,"Königreich Preußen,Deutsches Kaiserreich,Landgrafschaft Hessen-Kassel,Kurfürstentum Hessen","Biochemiker, Hochschullehrer, Chemiker",1800,1882
http://www.wikidata.org/entity/Q98560623,Ludwig-Kossuth-Straße,Straße in Dresden,Point(13.73808 51.11771),Innerortsstraße,http://www.wikidata.org/entity/Q157040,Lajos Kossuth,,,männlich,01109,,,Monok,Turin,Ungarn,"Journalist, Wirtschaftswissenschaftler, Politiker, Rechtsanwalt",1802,1894
http://www.wikidata.org/entity/Q97262641,Wilhelm-Liebknecht-Straße,Straße in Dresden,Point(13.81124 51.01187),Innerortsstraße,http://www.wikidata.org/entity/Q20127,Wilhelm Liebknecht,,,männlich,01257,,,Gießen,Charlottenburg,"Großherzogtum Hessen,Deutsches Kaiserreich","Friedensaktivist, Revolutionär, Journalist, Politiker, Schriftsteller",1826,1900
http://www.wikidata.org/entity/Q72662173,Curt-Querner-Straße,Straße in Dresden-Strehlen,Point(13.777413 51.016322),Innerortsstraße,http://www.wikidata.org/entity/Q896554,Curt Querner,,,männlich,01219,,,Börnchen,Kreischa,Deutsche Demokratische Republik,"Zeichner, Maler",1904,1976
http://www.wikidata.org/entity/Q97264512,Josef-Moll-Straße,Straße in Dresden,Point(13.81402 51.01277),Innerortsstraße,http://www.wikidata.org/entity/Q118916,Maximilien Joseph Moll,,,männlich,01257,,,Köln,Gaggenau,Königreich Preußen,"Revolutionär, Uhrmacher",1813,1849
http://www.wikidata.org/entity/Q97273926,Lassallestraße,Straße in Dresden,Point(13.81107 51.0196),Innerortsstraße,http://www.wikidata.org/entity/Q75784,Ferdinand Lassalle,,,männlich,01237,,,Breslau,Carouge,Königreich Preußen,"Philosoph, Wirtschaftswissenschaftler, Politiker, Rechtsanwalt, Schriftsteller",1825,1864
http://www.wikidata.org/entity/Q99396186,Julius-Vahlteich-Straße,Innerortsstraße in Dresden,Point(13.67997 51.04584),Innerortsstraße,http://www.wikidata.org/entity/Q1713033,Julius Vahlteich,,,männlich,01159,,,Leipzig,Chicago,"Vereinigte Staaten,Deutschland","Journalist, Kaufmann, Schuhmacher, Politiker",1839,1915
http://www.wikidata.org/entity/Q95689737,Wielandstraße,Straße in Dresden,Point(13.72478 51.04178),Innerortsstraße,http://www.wikidata.org/entity/Q154010,Christoph Martin Wieland,,,männlich,01069,,,Oberholzheim,Weimar,Biberach an der Riß,"Shakespeare-Übersetzer, englisch–deutscher Übersetzer, Literaturübersetzer, Hochschullehrer, Dichterjurist, Übersetzer, Dichter, Schriftsteller",1733,1813
http://www.wikidata.org/entity/Q95690071,Rohlfsstraße,Straße in Dresden-Südvorstadt,Point(13.73829 51.03203),Innerortsstraße,http://www.wikidata.org/entity/Q63209,Gerhard Rohlfs,,,männlich,01069,,,Vegesack,Rüngsdorf,Bremen,"Fremdenlegionär, Forschungsreisender, Militärarzt, Reiseschriftsteller, Botaniker, Kriegsfreiwilliger, Geograph, Agent",1831,1896
