Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
3298;00077;"Lothringer Straße                  ";"U   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";061  Johannst.-Nord(Elsasser Str);"Süd ";01307;158;"  ";"  "
3299;08060;"Lothringer Weg                     ";"1   ";"3   ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";512  Blasewitz(Schillerpl);"Süd ";01309;158;"  ";"  "
3300;08060;"Lothringer Weg                     ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";513  Blasewitz(Waldpark);"Süd ";01309;158;"  ";"  "
3301;08060;"Lothringer Weg                     ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";511  Blasewitz(Händelallee);"Süd ";01309;158;"  ";"  "
3302;14394;"Lotte-Meyer-Straße                 ";"    ";"    ";"    ";"    ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
3303;07063;"Lotzdorfer Straße                  ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Bühlau                   ";427  Alt-Bühlau/Quohren;Nord;01324;159;"  ";"  "
3304;14530;"Lotzebachstraße                    ";"3   ";"9   ";"4   ";"    ";"Mobschatz           ";"Rennersdorf              ";908  Rennersdorf;"Süd ";01156;159;"  ";"  "
3305;14530;"Lotzebachstraße                    ";"27  ";"    ";"    ";"    ";"Oberwartha          ";"Oberwartha               ";905  Oberwartha;"Süd ";01156;159;"  ";"  "
3306;14530;"Lotzebachstraße                    ";"31  ";"    ";"    ";"    ";"Mobschatz           ";"Brabschütz               ";907  Alt-Leuteritz/Brabschütz;"Süd ";01156;159;"  ";"  "
3307;12068;"Lotzestraße                        ";"    ";"    ";"    ";"    ";"Plauen              ";"Plauen                   ";864  Plauen(Nöthnitzer Str);"Süd ";01187;158;"  ";"  "
3308;06035;"Louis-Braille-Straße               ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";122  Radeberger Vs.(Forststr);Nord;01099;159;"  ";"  "
3309;06024;"Louisenstraße                      ";"3   ";"37  ";"2   ";"30  ";"Neustadt            ";"Dresden-Neustadt         ";113  Äußere Neust.(Katharinenstr);Nord;01099;159;"  ";"  "
3310;06024;"Louisenstraße                      ";"    ";"    ";"34  ";"66  ";"Neustadt            ";"Dresden-Neustadt         ";114  Äußere Neust.(Böhmische Str);Nord;01099;159;"  ";"  "
3311;06024;"Louisenstraße                      ";"39  ";"77  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";115  Äußere Neust.(Görlitzer Str);Nord;01099;159;"  ";"  "
3312;06024;"Louisenstraße                      ";"79  ";"95  ";"70  ";"80  ";"Neustadt            ";"Dresden-Neustadt         ";116  Äußere Neust.(Schönfelder Str);Nord;01099;159;"  ";"  "
3313;11279;"Louise-Seidler-Straße              ";"    ";"    ";"    ";"    ";"Prohlis             ";"Mockritz                 ";759  Mockritz-Ost(Gostritzer Str);"Süd ";01217;158;"  ";"  "
3314;05322;"Louis-Köhler-Weg                   ";"1   ";"11  ";"    ";"    ";"Weixdorf            ";"Lausa                    ";351  Weixdorf;Nord;01108;159;"  ";"  "
3315;05322;"Louis-Köhler-Weg                   ";"13  ";"29  ";"2   ";"16  ";"Weixdorf            ";"Weixdorf                 ";351  Weixdorf;Nord;01108;159;"  ";"  "
3316;09280;"Löwenhainer Straße                 ";"    ";"    ";"2   ";"40  ";"Blasewitz           ";"Seidnitz                 ";554  Seidnitz-Nord(Löwenhainer Str);"Süd ";01279;158;"  ";"  "
3317;09280;"Löwenhainer Straße                 ";"27  ";"33  ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";555  Seidnitz-Nord(Johnsbacher Weg);"Süd ";01279;158;"  ";"  "
3318;06062;"Löwenstraße                        ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";134  Äußere Neust.(Hoyerswerd. Str);Nord;01099;159;"  ";"  "
3319;10262;"Lübbenauer Straße                  ";"1   ";"23  ";"    ";"    ";"Prohlis             ";"Prohlis                  ";773  Reick(Lübbenauer Str);"Süd ";01237;158;"  ";"  "
3320;10262;"Lübbenauer Straße                  ";"    ";"    ";"6   ";"10  ";"Prohlis             ";"Reick                    ";773  Reick(Lübbenauer Str);"Süd ";01237;158;"  ";"  "
3321;14041;"Lübecker Straße                    ";"11  ";"13  ";"4   ";"16  ";"Cotta               ";"Löbtau                   ";921  Löbtau-Nord(Ebertplatz);"Süd ";01159;159;"  ";"  "
3322;14041;"Lübecker Straße                    ";"15  ";"41  ";"    ";"    ";"Cotta               ";"Löbtau                   ";922  Löbtau-Nord(Altlöbtau);"Süd ";01159;159;"  ";"  "
3323;14041;"Lübecker Straße                    ";"    ";"    ";"20  ";"22  ";"Cotta               ";"Dresden-Friedrichstadt   ";916  Friedrichst.-SW(Fröbelstr);"Süd ";01159;159;"  ";"  "
3324;14041;"Lübecker Straße                    ";"47  ";"55  ";"52  ";"70  ";"Cotta               ";"Dresden-Friedrichstadt   ";916  Friedrichst.-SW(Fröbelstr);"Süd ";01157;159;"  ";"  "
3325;14041;"Lübecker Straße                    ";"67  ";"81  ";"    ";"    ";"Cotta               ";"Cotta                    ";915  Cotta(Sachsdorfer Str);"Süd ";01157;159;"  ";"  "
3326;14041;"Lübecker Straße                    ";"87  ";"121 ";"100 ";"108 ";"Cotta               ";"Cotta                    ";912  Cotta(Grillparzerplatz);"Süd ";01157;159;"  ";"  "
3327;05193;"Lubminer Straße                    ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";312  Klotzsche(Lubminer Str);Nord;01109;159;"  ";"  "
3328;06088;"Luboldtstraße                      ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Weißer Hirsch            ";421  Weißer Hirsch;Nord;01324;159;"  ";"  "
3329;10077;"Luchbergstraße                     ";"1   ";"29  ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";566  Seidnitz(Altseidnitz);"Süd ";01237;158;"  ";"  "
3330;10077;"Luchbergstraße                     ";"31  ";"45  ";"2   ";"20  ";"Blasewitz           ";"Seidnitz                 ";562  Seidnitz(Schilfweg);"Süd ";01237;158;"  ";"  "
3331;06133;"Lückendorfer Straße                ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Bühlau                   ";426  Bühlau(Ullersdorfer Str);Nord;01324;159;"  ";"  "
3332;11018;"Ludwig-Ermold-Straße               ";"    ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";824  Südvs.-Ost(Ackermannstr);"Süd ";01217;158;"  ";"  "
