ID,Wikidata-Item,Straßenname,Koordinaten,Wikidata-Item (benannt nach),benannt nach,Beschreibung (benannt nach),Postleitzahl,lokaler Bezug,Benennungstyp,Benennungstyp II,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Sonstiges,Grundwort,Strassenendung
2319,http://www.wikidata.org/entity/Q96001129,Heilbronner Straße,Point(13.70011 51.0112),http://www.wikidata.org/entity/Q715,Heilbronn,"Großstadt in Baden-Württemberg, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
85,http://www.wikidata.org/entity/Q96058382,Poststraße,Point(13.70013 51.04141),,,,1159,ja,Bauwerk/Infrastruktur,,,,,,Straße,Straße
2873,http://www.wikidata.org/entity/Q100371776,Am Eiswurmlager,Point(13.70014 51.02256),,Erzählung des Eiswurmes,,1189,nein,Person fiktiv,mythisch,,,,,Sonstige,Sonstige
2273,http://www.wikidata.org/entity/Q72662136,Colmnitzer Straße,Point(13.70016 51.04766),http://www.wikidata.org/entity/Q2670486,Colmnitz (Klingenberg),Ortsteil von Klingenberg im Landkreis Sächsische Schweiz-Osterzgebirge,1159,nein,Ort,,,,,,Straße,Straße
1120,http://www.wikidata.org/entity/Q66619410,Leuckartstraße,Point(13.700273 51.086499),http://www.wikidata.org/entity/Q55064784,Rudolf Leuckart,deutscher Zoologe und Begründer der Parasitologie (1822-1898),1139,nein,Person real,,,,,,Straße,Straße
2332,http://www.wikidata.org/entity/Q72662421,Frankfurter Straße,Point(13.70042 51.0315),http://www.wikidata.org/entity/Q1794,Frankfurt am Main,"bevölkerungsreichste Stadt in Hessen, Deutschland",1159,nein,Ort,,,,,,Straße,Straße
2580,http://www.wikidata.org/entity/Q66587519,Altmickten,Point(13.700578 51.073837),http://www.wikidata.org/entity/Q8942,Mickten,"Stadtteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1139,ja,Ort,Stadtteil,,,,,Sonstige,Sonstige
1881,http://www.wikidata.org/entity/Q99396854,Paschkystraße,Point(13.70062 51.03013),,August Paschky,"Bersitzer mehrerer Fischhandlungen in Dresden, Sozialdemokratischer Arbeiterfunktionär",1159,ja,Person real,,,,,,Straße,Straße
2324,http://www.wikidata.org/entity/Q96058524,Waldheimer Straße,Point(13.70075 51.03694),http://www.wikidata.org/entity/Q71154,Waldheim,"Stadt im Landkreis Mittelsachsen, Sachsen, Deutschland",1159,nein,Ort,,,,,,Straße,Straße
427,http://www.wikidata.org/entity/Q67311769,Baumwiesenweg,Point(13.700837 51.094347),,,,1139,ja,weitere Geografika,Flurname,,,,,Weg,Weg
1642,http://www.wikidata.org/entity/Q66619403,Baudissinstraße,Point(13.701029 51.087786),http://www.wikidata.org/entity/Q215699,Wolf Heinrich von Baudissin,"deutscher Diplomat, Schriftsteller und Übersetzer",1139,ja,Person real,,,,,,Straße,Straße
270,http://www.wikidata.org/entity/Q98167495,Windbergstraße,Point(13.70105 51.01771),http://www.wikidata.org/entity/Q6811,Windberg,"Berg im Döhlener Becken bei Freital in Sachsen, Deutschland",1189,nein,weitere Geografika,Berg,,,,,Straße,Straße
1473,http://www.wikidata.org/entity/Q66817209,Quandtstraße,Point(13.701148 51.090386),http://www.wikidata.org/entity/Q86950,Johann Gottlob von Quandt,deutscher Kunsthistoriker und Kunstmäzen,1139,ja,Person real,,,,,,Straße,Straße
2344,http://www.wikidata.org/entity/Q98167507,Kreuznacher Straße,Point(13.70115 51.01927),http://www.wikidata.org/entity/Q7047,Bad Kreuznach,"Stadt in Rheinland-Pfalz, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
890,http://www.wikidata.org/entity/Q66817181,Schenkendorfstraße,Point(13.701294 51.08601),http://www.wikidata.org/entity/Q71616,Max von Schenkendorf,"deutscher Dichter, Liedermacher und Soldat",1139,nein,Person real,,,,,,Straße,Straße
2342,http://www.wikidata.org/entity/Q98167473,Rastatter Straße,Point(13.7013 51.01383),http://www.wikidata.org/entity/Q6874,Rastatt,Stadt in Baden-Württemberg,1189,nein,Ort,,,,,,Straße,Straße
433,http://www.wikidata.org/entity/Q96058336,Reisewitzer Straße,Point(13.7015 51.04004),,,,1159,ja,weitere Geografika,Flurname,,,,,Straße,Straße
2317,http://www.wikidata.org/entity/Q96001120,Tübinger Straße,Point(13.70154 51.01215),http://www.wikidata.org/entity/Q3806,Tübingen,"Stadt in Baden-Württemberg, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
46,http://www.wikidata.org/entity/Q72662235,Drescherhäuser,Point(13.70154 51.04941),,,,1159,ja,Bauwerk/Infrastruktur,,,,,,Sonstige,Sonstige
2666,http://www.wikidata.org/entity/Q98167311,Niederhäslicher Weg,Point(13.70156 51.01608),http://www.wikidata.org/entity/Q383464,Niederhäslich (Freital),Stadtteil von Freital,1189,ja,Ort,,,,,,Weg,Weg
891,http://www.wikidata.org/entity/Q66817229,Roscherstraße,Point(13.701574 51.089131),http://www.wikidata.org/entity/Q62842,Wilhelm Roscher,"deutscher Historiker und Ökonom, Begründer der älteren Historischen Schule der Ökonomie",1139,nein,Person real,,,,,,Straße,Straße
1472,http://www.wikidata.org/entity/Q66615373,Pisendelstraße,Point(13.701613 51.079757),http://www.wikidata.org/entity/Q508635,Johann Georg Pisendel,deutscher Violinist und Komponist,1139,ja,Person real,,,,,,Straße,Straße
1065,http://www.wikidata.org/entity/Q99250149,Bonhoefferplatz,Point(13.70169 51.03871),http://www.wikidata.org/entity/Q76326,Dietrich Bonhoeffer,"deutscher evangelisch-lutherischer Theologe, Vertreter der Bekennenden Kirche",1159,nein,Person real,,,,,,Platz,Platz
1738,http://www.wikidata.org/entity/Q96058417,Schillingstraße,Point(13.70173 51.04245),http://www.wikidata.org/entity/Q314567,Johannes Schilling,deutscher Bildhauer,1159,ja,Person real,,,,,,Straße,Straße
1830,http://www.wikidata.org/entity/Q67362112,Geblerstraße,Point(13.701784 51.091952),,Johann Heinrich Moritz Gebler,Seifensiedermeister in Dresden,1139,ja,Person real,,,,,,Straße,Straße
892,http://www.wikidata.org/entity/Q66817238,Kolbestraße,Point(13.701935 51.089651),http://www.wikidata.org/entity/Q76621,Hermann Kolbe,deutscher Chemiker und Begründer der Organischen Elektrochemie,1139,nein,Person real,,,,,,Straße,Straße
1128,http://www.wikidata.org/entity/Q72661741,Anton-Weck-Straße,Point(13.70194 51.04094),http://www.wikidata.org/entity/Q1478812,Anton Weck,"kurfürstlich sächsischer Rat, Geheimer Sekretär, Autor einer Dresdner Chronik",1159,ja,Person real,,,,,,Straße,Straße
