Straßenname,Ortsname,lat,lon,adresse
Bielatalweg,Bielatal,50.8761145,14.0441401,"Bielatal, Rosenthal-Bielatal, Königstein/Sächs. Schw., Sächsische Schweiz-Osterzgebirge, Sachsen, 01824, Deutschland"
Selliner Straße,Sellin,54.3770567,13.6942765,"Sellin, Mönchgut-Granitz, Vorpommern-Rügen, Mecklenburg-Vorpommern, Deutschland"
Sagarder Weg,Sagard,54.5262226,13.5561327,"Sagard, Nord-Rügen, Vorpommern-Rügen, Mecklenburg-Vorpommern, Deutschland"
Papstdorfer Straße,Papstdorf (Gohrisch),50.8966988,14.1288202,"Papstdorf, Gohrisch, Königstein/Sächs. Schw., Sächsische Schweiz-Osterzgebirge, Sachsen, 01814, Deutschland"
Altgruna,Gruna (Dresden),51.0332929,13.7864783,"Gruna, Blasewitz, Dresden, Sachsen, Deutschland"
Postelwitzer Straße,Postelwitz (Bad Schandau),50.9140024,14.1700346,"Postelwitz, Ostrau, Krippen, Bad Schandau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01814, Deutschland"
Dohnaer Platz,Dohna,50.955232,13.8587012,"Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Reicker Straße,Reick,51.0133206,13.7939453,"Reick, Prohlis, Dresden, Sachsen, 01237, Deutschland"
Königsbrücker Landstraße,Königsbrück,51.2637467,13.9028337,"Königsbrück, Bautzen - Budyšin, Sachsen, 01936, Deutschland"
Stendaler Straße,Stendal,52.6050782,11.8594279,"Stendal, Sachsen-Anhalt, 39576, Deutschland"
Altstriesen,Striesen,51.0434696,13.7860506,"Striesen, Blasewitz, Dresden, Sachsen, 01309, Deutschland"
Dohnaer Straße,Dohna,50.955232,13.8587012,"Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01809, Deutschland"
Wormser Straße,Worms,49.6302618,8.3620898,"Worms, Rheinland-Pfalz, Deutschland"
Kautzscher Straße,Kautzsch (Kreischa),50.9616519,13.7658578,"Kautzsch, Kleba, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Liebstädter Straße,Liebstadt,50.8634629,13.8570413,"Liebstadt, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01825, Deutschland"
Gomlitzer Höhe,Gomlitz,51.1513243,13.7912669,"Gomlitz, Weixdorf, Dresden, Sachsen, 01108, Deutschland"
Prossener Straße,Prossen (Bad Schandau),50.931162,14.1147956,"Prossen, Porschdorf, Bad Schandau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01824, Deutschland"
Eilenburger Straße,Eilenburg,51.4586736,12.6344389,"Eilenburg, Nordsachsen, Sachsen, 04838, Deutschland"
Wolgaster Straße,Wolgast,54.0536473,13.7757809,"Wolgast, Am Peenestrom, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17438, Deutschland"
Altnickern,Nickern (Dresden),50.9942356,13.7874795,"Nickern, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Alte Moritzburger Straße,Moritzburg,51.1592018,13.6819406,"Moritzburg, Meißen, Sachsen, 01468, Deutschland"
Ostrauer Straße,Ostrau (Bad Schandau),50.920524,14.1745622,"Ostrau, Bad Schandau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01814, Deutschland"
Binzer Weg,Binz,54.4010291,13.6076477,"Binz, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18609, Deutschland"
Bärenburger Weg,Bärenburg (Altenberg),50.7945663,13.7127316,"Oberbärenburg, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01773, Deutschland"
Ulberndorfer Weg,Ulberndorf,50.8764379,13.6750446,"Ulberndorf, Dippoldiswalde, Sächsische Schweiz-Osterzgebirge, Sachsen, 01744, Deutschland"
Gaustritzer Straße,Gaustritz,50.9825633,13.7646621,"Gaustritz, Bannewitz, Sächsische Schweiz-Osterzgebirge, Sachsen, 01239, Deutschland"
Zschachwitzer Straße,Zschachwitz,51.009631,13.854418,"Kleinzschachwitz, Leuben, Dresden, Sachsen, 01259, Deutschland"
